Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,,George Spicer Primary School,Mixed,Enfield,,EN1 1YF,11,4,Southbury Road,Enfield,Community School,533756,196492
,Hertfordshire,Hadley Wood Primary School,Mixed,Enfield,Hadley Wood,EN4 0HT,11,4,Courtleigh Avenue,Barnet,Community School,526427,198404
,,Hazelbury Infant School,Mixed,Enfield,Edmonton,N9 9TT,7,3,Haselbury Road,London,Community School,533311,193331
,,Hazelwood Junior School,Mixed,Enfield,,N13 5HE,11,7,Hazelwood Lane,London,Community School,531435,192682
,,Hazelwood Infant School,Mixed,Enfield,,N13 5HE,7,4,Hazelwood Lane,London,Community School,531435,192682
,Middlesex,Honilands Primary School,Mixed,Enfield,,EN1 4RE,11,3,Lovell Road,Enfield,Community School,534947,199455
,,Merryhills Primary School,Mixed,Enfield,,EN2 7RE,11,4,Bincote Road,Enfield,Community School,530834,196478
,,Prince of Wales Primary School,Mixed,Enfield,,EN3 6HG,11,3,Salisbury Road,Enfield,Community School,536770,198543
,Middlesex,The Raglan Junior School,Mixed,Enfield,Bush Hill Park,EN1 2RG,11,7,Raglan Road,Enfield,Community School,533517,194889
,,Raglan Infant School,Mixed,Enfield,,EN1 2NS,7,5,Wellington Road,Enfield,Community School,533476,194848
,,Suffolks Primary School,Mixed,Enfield,,EN1 3PU,11,3,Brick Lane,Enfield,Community School,534629,197220
,,Tottenhall Infant School,Mixed,Enfield,,N13 6HX,7,3,Tottenhall Road,London,Community School,531249,191940
,,Walker Primary School,Mixed,Enfield,,N14 7EG,11,4,Waterfall Road,London,Community School,529728,193491
,,Hazelbury Junior School,Mixed,Enfield,Edmonton,N9 9TT,11,7,Haselbury Road,London,Community School,533277,193249
,,Houndsfield Primary School,Mixed,Enfield,,N9 7RE,11,3,Ripon Road,London,Community School,534709,194642
,,Alma Primary School,Mixed,Enfield,Ponders End,EN3 4UQ,11,3,Alma Road,Enfield,Community School,535987,195797
,,Wilbury Primary School,Mixed,Enfield,Edmonton,N18 1DE,11,3,Wilbury Way,London,Community School,532854,192121
,,Southbury Primary School,Mixed,Enfield,,EN3 4JG,11,3,Swansea Road,Enfield,Community School,535099,196350
,,Lavender Primary School,Mixed,Enfield,,EN2 0SX,11,4,Lavender Road,Enfield,Community School,532995,197977
,,Grange Park Primary School,Mixed,Enfield,Winchmore Hill,N21 1PP,11,4,World's End Lane,London,Community School,530977,195990
,,Eastfield Primary School,Mixed,Enfield,,EN3 5UX,11,3,Eastfield Road,Enfield,Community School,535711,198153
,,Churchfield Primary School,Mixed,Enfield,Edmonton,N9 9PL,11,3,Latymer Road,London,Community School,533834,194136
,,Worcesters Primary School,Mixed,Enfield,,EN1 4UF,11,3,Goat Lane,Enfield,Community School,533965,198317
,,Bowes Primary School,Mixed,Enfield,New Southgate,N11 2HL,11,3,Bowes Road,London,Community School,529879,192208
,,De Bohun Primary School,Mixed,Enfield,,N14 4AD,11,3,Green Road,London,Community School,528719,195540
,,Raynham Primary School,Mixed,Enfield,,N18 2JQ,11,3,Raynham Avenue,London,Community School,534346,192236
,,Bush Hill Park Primary School,Mixed,Enfield,,EN1 1DS,11,3,Main Avenue,Enfield,Community School,534127,195811
,,Eversley Primary School,Mixed,Enfield,,N21 1PD,11,4,Chaseville Park Road,London,Community School,530594,195529
,,St Michael at Bowes CofE Junior School,Mixed,Enfield,,N13 6JB,11,7,Tottenhall Road,London,Voluntary Aided School,531297,191945
,,St John's CofE Primary School,Mixed,Enfield,,EN2 9BD,11,4,Theobalds Park Road,Enfield,Voluntary Aided School,531794,198989
,,Forty Hill CofE Primary School,Mixed,Enfield,,EN2 9EY,11,4,Forty Hill,Enfield,Voluntary Aided School,534178,198690
,,St Andrew's CofE Primary School,Mixed,Enfield,,EN1 3UL,11,3,116 Churchbury Lane,Enfield,Voluntary Aided School,533105,197208
,,St Andrew's Southgate Primary School (CofE),Mixed,Enfield,Southgate,N14 6JA,11,4,297 Chase Road,London,Voluntary Aided School,529664,194475
,,Freezywater St George's CofE Primary School,Mixed,Enfield,,EN3 6NR,11,4,Hertford Road,Enfield,Voluntary Aided School,535716,199064
,,St John and St James CofE Primary School,Mixed,Enfield,,N18 2TL,11,3,Grove Street,London,Voluntary Aided School,533972,191952
,,St James CofE Primary School,Mixed,Enfield,,EN3 7HH,11,4,Frederick Crescent,Enfield,Voluntary Aided School,535271,197210
,,St Michael's CofE Primary School,Mixed,Enfield,,EN2 0NB,11,3,Brigadier Hill,Enfield,Voluntary Aided School,532321,197873
,,St Paul's CofE Primary School,Mixed,Enfield,Winchmore Hill,N21 2RA,11,4,Ringwood Way,London,Voluntary Aided School,531633,194592
,,St Mary's RC Primary School,Mixed,Enfield,Ponders End,EN3 7DE,11,3,Durants Road,Enfield,Voluntary Aided School,535756,196174
,,St Edmunds Catholic Primary School,Mixed,Enfield,Edmonton,N9 7HJ,11,4,Hertford Road,London,Voluntary Aided School,534676,194044
,,St George's RC Primary School,Mixed,Enfield,,EN2 0QA,11,4,Gordon Road,Enfield,Voluntary Aided School,532834,197346
,,St Monica's RC Primary School,Mixed,Enfield,Southgate,N14 7HE,11,4,Cannon Road,London,Voluntary Aided School,530216,193218
,,Our Lady of Lourdes Catholic Primary School,Mixed,Enfield,,N11 1RD,11,4,The Limes Avenue,London,Voluntary Aided School,529136,192398
,,Latymer All Saints CofE Primary School,Mixed,Enfield,Edmonton,N9 9RS,11,3,41 Hydethorpe Avenue,London,Voluntary Aided School,533785,193650
,,Wolfson Hillel Primary School,Mixed,Enfield,Southgate,N14 4LG,11,3,154 Chase Road,London,Voluntary Aided School,529669,195019
,,Edmonton County School,Mixed,Enfield,,EN1 1HQ,18,11,Great Cambridge Road,Enfield,Community School,533832,194710
,,Winchmore School,Mixed,Enfield,Winchmore Hill,N21 3HS,18,11,Laburnum Grove,London,Community School,532148,193892
,Hertfordshire,Southgate School,Mixed,Enfield,Cockfosters,EN4 0BL,18,11,Sussex Way,Barnet,Community School,528736,195890
,,Enfield County School,Girls,Enfield,,EN2 6QG,18,11,Holly Walk,Enfield,Community School,532660,196786
,,Chace Community School,Mixed,Enfield,,EN1 3HQ,18,11,Churchbury Lane,Enfield,Community School,533134,197520
,,Lea Valley High School,Mixed,Enfield,,EN3 6TW,18,11,Bullsmoor Lane,Enfield,Community School,535460,199772
,Middlesex,Bishop Stopford's School,Mixed,Enfield,,EN1 3PU,18,11,Brick Lane,Enfield,Voluntary Aided School,534676,197189
,,St Anne's Catholic High School for Girls,Girls,Enfield,Palmers Green,N13 5TY,18,11,Oakthorpe Road,London,Voluntary Aided School,531090,192526
,,St Matthew's CofE Primary School,Mixed,Enfield,,EN3 4LA,11,4,South Street,Enfield,Voluntary Aided School,535458,195673
,,The Latymer School,Mixed,Enfield,,N9 9TN,18,11,Haselbury Road,London,Voluntary Aided School,533405,193668
,,Broomfield School,Mixed,Enfield,,N14 7HY,18,11,Wilmer Way,London,Foundation School,529904,192375
,,St Ignatius College,Boys,Enfield,,EN1 4NP,18,11,Turkey Street,Enfield,Voluntary Aided School,534539,198919
,,Keble Preparatory School,Boys,Enfield,Winchmore Hill,N21 1BG,13,4,Wades Hill,London,Other Independent School,531371,194684
,,Palmers Green High School,Girls,Enfield,,N21 3LJ,17,3,104 Hoppers Road,London,Other Independent School,531324,193624
Winchmore Hill,,Grange Park Preparatory School,Girls,Enfield,Grange Park,N21 2EA,10,5,13 the Chine,London,Other Independent School,531880,195267
,,Salcombe School,Mixed,Enfield,Southgate,N14 4PL,11,3,224-226 Chase Side,London,Other Independent School,529716,194678
Southgate,,Vita Et Pax School,Mixed,Enfield,Green Road,N14 4AT,11,3,6a Priory Close,London,Other Independent School,528949,195640
,Hertfordshire,St John's Preparatory and Senior School,Mixed,Enfield,The Ridgeway,EN6 5QT,18,4,St Johns Prep and Senior School,Potters Bar,Other Independent School,527371,200059
,,Durants School,Mixed,Enfield,,EN3 5BY,18,4,4 Pitfield Way,Enfield,Community Special School,535182,197871
,,West Lea School,Mixed,Enfield,Edmonton,N9 9TU,18,4,Haselbury Road,London,Community Special School,533135,193394
,,Aylands School,Mixed,Enfield,,EN3 6NY,16,7,Keswick Drive,Enfield,Community Special School,535421,199082
,,Oaktree School,Mixed,Enfield,Southgate,N14 4HN,18,4,Chase Side,London,Community Special School,528389,195437
,,Waverley School,Mixed,Enfield,,EN3 7DL,19,3,105 The Ride,Enfield,Community Special School,535362,196491
,,Pembury House Nursery School,Mixed,Haringey,Tottenham,N17 9XE,5,3,Lansdowne Road,London,LA Nursery School,533973,190605
,,Rowland Hill Nursery School,Mixed,Haringey,Totenham,N17 7LT,5,3,White Hart Lane,London,LA Nursery School,532464,191409
,,Woodlands Park Nursery Centre,Mixed,Haringey,Tottenham,N15 3SD,5,3,Woodlands Park Road,London,LA Nursery School,532059,188774
,,Haringey Pupil Referral Unit,Mixed,Haringey,Wood Green,N22 8DZ,18,5,Commerce Road,London,Pupil Referral Unit,530665,190898
,,Belmont Junior School,Mixed,Haringey,,N22 6RA,11,7,Rusper Road,London,Community School,532117,189860
,,Belmont Infant School,Mixed,Haringey,,N22 6RA,7,3,Rusper Road,London,Community School,532117,189860
,,Bounds Green Junior School,Mixed,Haringey,,N11 2QG,11,7,Bounds Green Road,London,Community School,530010,191371
,,Bounds Green Infant School,Mixed,Haringey,,N11 2QG,7,3,Bounds Green Road,London,Community School,530010,191371
,,Campsbourne Junior School,Mixed,Haringey,,N8 7AF,11,7,Nightingale Lane,London,Community School,530199,189701
,,Campsbourne Infant School,Mixed,Haringey,,N8 7AF,7,3,Nightingale Lane,London,Community School,530186,189628
,,Devonshire Hill Primary School,Mixed,Haringey,,N17 8LB,11,3,Weir Hall Road,London,Community School,532986,191555
,,Earlsmead Primary School,Mixed,Haringey,Tottenham,N15 4PW,11,3,Broad Lane,London,Community School,533919,188987
Highgate,,Highgate Primary School,Mixed,Haringey,,N6 4ED,11,3,North Hill,London,Community School,527936,188318
,,Lancasterian Primary School,Mixed,Haringey,Tottenham,N17 8NN,11,3,King's Road,London,Community School,533638,190953
,,Coldfall Primary School,Mixed,Haringey,Muswell Hill,N10 1HS,11,3,Coldfall Avenue,London,Community School,527923,190269
,,Tetherdown Primary School,Mixed,Haringey,,N10 3BP,11,4,Grand Avenue,London,Community School,528127,189297
,,Rokesly Junior School,Mixed,Haringey,,N8 8NH,11,7,Rokesly Avenue,London,Community School,530372,188815
,,Rokesly Infant School,Mixed,Haringey,,N8 8NH,7,3,Hermiston Avenue,London,Community School,530372,188815
,,South Harringay Junior School,Mixed,Haringey,,N4 1BD,11,7,Mattison Road,London,Community School,531592,188526
,,South Harringay Infant School & the Ladder Children's Centre,Mixed,Haringey,Haringey,N4 1BA,7,3,Pemberton Road,London,Community School,531649,188545
,,Stamford Hill Primary School,Mixed,Haringey,,N15 6HD,11,3,Berkeley Road,London,Community School,532881,188049
,,West Green Primary School,Mixed,Haringey,,N15 3RT,11,4,West Green Road,London,Community School,532173,189052
,,Tiverton Primary School,Mixed,Haringey,,N15 6SP,11,3,Pulford Road,London,Community School,532741,188181
,,Coleridge Primary School,Mixed,Haringey,Hornsey,N8 8DN,11,3,Crouch End Hill,London,Community School,529869,187979
,,Welbourne Primary School,Mixed,Haringey,Tottenham,N15 4EA,11,3,Stainby Road,London,Community School,534040,189516
,,Lea Valley Primary School,Mixed,Haringey,,N17 0PT,11,3,Somerford Grove,London,Community School,534398,191220
,,Ferry Lane Primary School,Mixed,Haringey,Tottenham,N17 9PP,11,3,Ferry Lane Estate,London,Community School,534658,189183
,,Rhodes Avenue Primary School,Mixed,Haringey,,N22 7UT,11,3,Rhodes Avenue,London,Community School,529205,190797
,,Crowland Primary School,Mixed,Haringey,,N15 6UX,11,3,Crowland Road,London,Community School,534027,188633
,,Weston Park Primary School,Mixed,Haringey,Hornsey,N8 9WP,11,3,Denton Road,London,Community School,530869,188546
,,The Willow Primary School,Mixed,Haringey,,N17 6HW,11,3,Adams Road,London,Community School,532942,190328
,,St Aidan's Voluntary Controlled Primary School,Mixed,Haringey,Stroud Green,N4 4RR,11,3,Albany Road,London,Voluntary Controlled School,531031,187951
,,St Michael's CofE Voluntary Aided Primary School,Mixed,Haringey,Highgate,N6 4BG,11,3,North Road,London,Voluntary Aided School,528221,187707
,,St James' CofE Primary School,Mixed,Haringey,Muswell Hill,N10 3JA,11,3,Woodside Avenue,London,Voluntary Aided School,528330,189117
,,St Mary's CofE Primary School,Mixed,Haringey,Hornsey,N8 7BU,11,3,Church Lane,London,Voluntary Aided School,530676,189139
,,Our Lady of Muswell RC Primary School,Mixed,Haringey,Muswell Hill,N10 1PS,11,3,Pages Lane,London,Voluntary Aided School,528328,190003
,,St Francis de Sales RC Junior School,Mixed,Haringey,Tottenham,N17 8AZ,11,7,Church Road,London,Voluntary Aided School,533829,191113
,,St Ignatius RC Primary School,Mixed,Haringey,Tottenham,N15 6ND,11,3,St Ann's Road,London,Voluntary Aided School,533578,188225
,,St Mary's Priory RC Junior School,Mixed,Haringey,,N15 5RE,11,7,Hermitage Road,London,Voluntary Aided School,532704,188523
,,St Paul's RC Primary School,Mixed,Haringey,Wood Green,N22 7SZ,11,4,Bradley Road,London,Voluntary Aided School,530647,190404
,,St Mary's Priory RC Infant School,Mixed,Haringey,Tottenham,N15 5RE,7,3,Hermitage Road,London,Voluntary Aided School,532704,188523
,,St Peter-in-Chains RC Infant School,Mixed,Haringey,,N8 9AJ,7,4,Elm Grove,London,Voluntary Aided School,530431,188047
,,St Francis de Sales RC Infant School,Mixed,Haringey,,N17 8DA,7,3,Brereton Road,London,Voluntary Aided School,533831,191178
,,St Martin of Porres RC Primary School,Mixed,Haringey,New Southgate,N11 2AF,11,3,Blake Road,London,Voluntary Aided School,529363,191548
,,St Gildas' RC Junior School,Mixed,Haringey,,N8 9EP,11,7,Oakington Way,London,Voluntary Aided School,530347,187996
,,St John Vianney RC Primary School,Mixed,Haringey,,N15 3HD,11,3,Stanley Road,London,Voluntary Aided School,531938,189139
,,Hornsey School for Girls,Girls,Haringey,,N8 9JF,18,11,Inderwick Road,London,Community School,530709,188684
,,Highgate Wood Secondary School,Mixed,Haringey,,N8 8RN,18,11,Montenotte Road,London,Community School,529449,188604
,,Northumberland Park Community School,Mixed,Haringey,Tottenham,N17 0PG,16,11,Trulock Road,London,Community School,534215,191340
Muswell Hill,,Fortismere School,Mixed,Haringey,Tetherdown,N10 1NE,18,11,Southwing,London,Foundation School,528180,189842
,,Gladesmore Community School,Mixed,Haringey,Tottenham,N15 6EB,16,11,Crowland Road,London,Community School,534098,188572
,,Channing School,Girls,Haringey,Highgate,N6 5HF,18,4,The Bank,London,Other Independent School,528715,187337
,,Highgate School,Mixed,Haringey,,N6 4AY,19,3,North Road,London,Other Independent School,528337,187571
,,Norfolk House School,Mixed,Haringey,Muswell Hill,N10 2EG,11,3,10 Muswell Avenue,London,Other Independent School,528741,190082
,,The John Loughborough School,Mixed,Haringey,Tottenham,N17 9AD,16,11,Holcombe Road,London,Voluntary Aided School,533962,189998
,,Sunrise Primary School,Mixed,Haringey,,N17 0EX,11,2,55 Coniston Road,London,Other Independent School,534054,191565
,,North London Rudolf Steiner School,Mixed,Haringey,Hornsey,N8 7PN,6,3,1-3 Campsbourne,London,Other Independent School,530339,189363
,,Beis Chinuch Lebonos Girls School,Girls,Hackney,Woodberry Down,N4 2SH,16,2,Woodberry Down Centre,London,Other Independent School,532381,187518
,,The London School for Children With Cerebral Palsy,Mixed,Haringey,,N10 3ST,11,3,54 Muswell Hill,London,Other Independent Special School,528941,189738
Tottenham,,Excelsior College,Mixed,Haringey,Selby Road,N17 8JN,11,3,Selby Centre,London,Other Independent School,533216,191410
Muswell Hill,,Blanche Nevile School,Mixed,Haringey,,N10 1NJ,18,3,Burlington Road,London,Community Special School,528067,190032
Tottenham,,Vale School,Mixed,Haringey,Tottenham,N17 0PG,16,2,Trulock Road,London,Community Special School,534215,191340
,,The Brook School,Mixed,Haringey,Tottenham,N17 6HW,11,4,Adams Road,London,Community Special School,532975,190322
,,Riverside School,Mixed,Haringey,Wood Green,N22 5QJ,16,11,White Hart Lane,London,Community Special School,531884,191354
,Middlesex,Harrow Tuition Service,Mixed,Harrow,,HA3 5PQ,16,5,Tudor Road (Harrow Teachers Centre),Harrow Weald,Pupil Referral Unit,514880,189993
,,"Newton Farm Nursery, Infant and Junior School",Mixed,Harrow,South Harrow,HA2 9JU,11,3,Ravenswood Crescent,Harrow,Community School,512751,186853
,,Whitefriars Community School,Mixed,Harrow,Wealdstone,HA3 5RQ,11,3,Whitefriars Avenue,Harrow,Community School,515030,190087
,Middlesex,Roxeth Primary School,Mixed,Harrow,Byron Hill Road,HA2 0JA,11,3,Brickfields,Harrow,Community School,514880,186903
,,Marlborough Primary School,Mixed,Harrow,,HA1 1UJ,11,4,Marlborough Hill,Harrow,Community School,515062,189176
,,Grimsdyke School,Mixed,Harrow,Hatch End,HA5 4QE,11,4,Sylvia Avenue,Pinner,Community School,512522,191622
,Middlesex,Camrose Primary With Nursery,Mixed,Harrow,,HA8 6JH,11,3,St David's Drive,Edgware,Community School,518642,190777
,Middlesex,Belmont School,Mixed,Harrow,Harrow Weald,HA3 7JT,11,3,Hibbert Road,Harrow,Community School,515938,190307
,,Cannon Lane Junior School,Mixed,Harrow,,HA5 1TS,11,7,Cannonbury Avenue,Pinner,Community School,511772,188117
,,Kenmore Park Junior School,Mixed,Harrow,Kenton,HA3 9JA,11,7,Moorhouse Road,Harrow,Community School,518049,189732
,,Pinner Park Junior School,Mixed,Harrow,,HA5 5TJ,11,7,Melbourne Avenue,Pinner,Community School,513787,189949
,,Priestmead Primary School and Nursery,Mixed,Harrow,Kenton,HA3 8SZ,11,3,Hartford Avenue,Harrow,Community School,516813,189875
,,Stag Lane Junior School,Mixed,Harrow,,HA8 5RU,11,7,Collier Drive,Edgware,Community School,519231,190411
,,Stanburn Junior School,Mixed,Harrow,,HA7 2PJ,11,7,Abercorn Road,Stanmore,Community School,517199,191102
,Middlesex,Longfield Primary School,Mixed,Harrow,North Harrow,HA2 7NZ,11,3,Duke's Avenue,Harrow,Community School,513061,188104
,,Weald Junior School,Mixed,Harrow,Harrow Weald,HA3 7DH,11,7,Robin Hood Drive,Harrow,Community School,515645,191154
,Middlesex,Grange Primary School,Mixed,Harrow,South Harrow,HA2 0RY,11,3,Welbeck Road,Harrow,Community School,513848,187215
,Middlesex,Heathland School,Mixed,Harrow,South Harrow,HA2 9AG,11,3,Eastcote Lane,Harrow,Community School,513025,186247
,,Cannon Lane First School (4-7 Years),Mixed,Harrow,,HA5 1TS,7,4,Cannonbury Avenue,Pinner,Community School,511772,188117
,,Pinner Park Infant and Nursery School,Mixed,Harrow,,HA5 5TL,7,3,Melbourne Avenue,Pinner,Community School,513787,189949
,,Stag Lane Infant and Nursery School,Mixed,Harrow,,HA8 5RU,7,3,Collier Drive,Edgware,Community School,519215,190371
,,Elmgrove Primary School & Nursery,Mixed,Harrow,Kenton,HA3 8LU,11,3,Kenmore Avenue,Harrow,Community School,516269,189135
,,Kenmore Park Infant and Nursery School,Mixed,Harrow,Kenton,HA3 9JA,7,3,Moorhouse Road,Harrow,Community School,518049,189732
,,Roxbourne Primary School,Mixed,Harrow,,HA2 9QF,11,3,Torbay Road,Harrow,Community School,512138,186828
,,Stanburn First School 4-7 Years,Mixed,Harrow,,HA7 2PJ,7,4,Abercorn Road,Stanmore,Community School,517199,191102
,,Weald Infant and Nursery School,Mixed,Harrow,Harrow Weald,HA3 7DH,7,3,Robin Hood Drive,Harrow,Community School,515645,191154
,Middlesex,West Lodge Primary School,Mixed,Harrow,,HA5 1AF,11,4,West End Lane,Pinner,Community School,511769,189316
,,Earlsmead Primary School,Mixed,Harrow,South Harrow,HA2 8PW,11,4,Arundel Drive,Harrow,Community School,512872,185623
,,Welldon Park Infant School,Mixed,Harrow,South Harrow,HA2 8LT,7,3,Kingsley Road,Harrow,Community School,514400,186000
,Middlesex,Welldon Park Junior School,Mixed,Harrow,South Harrow,HA2 8LS,11,7,Wyvenhoe Road,Harrow,Community School,514035,186012
,Middlesex,Norbury School,Mixed,Harrow,,HA1 1QQ,11,3,Welldon Crescent,Harrow,Community School,515100,188475
,Middlesex,Vaughan Primary School,Mixed,Harrow,West Harrow,HA1 4EL,11,3,Vaughan Road,Harrow,Community School,514092,188075
,,Glebe Primary School,Mixed,Harrow,Kenton,HA3 9JU,11,3,D'Arcy Gardens,Harrow,Community School,518086,189462
,,Aylward Primary School,Mixed,Harrow,,HA7 4RE,11,3,Pangbourne Drive,Stanmore,Community School,517981,192291
,,Whitchurch First School and Nursery,Mixed,Harrow,,HA7 2EQ,7,3,Wemborough Road,Stanmore,Community School,517594,191239
,,St Bernadette's Catholic Primary School,Mixed,Harrow,Kenton,HA3 9NS,11,4,Clifton Road,Harrow,Voluntary Aided School,518540,189173
,,St Anselm's Catholic Primary School,Mixed,Harrow,,HA1 3BE,11,4,Roxborough Park,Harrow,Voluntary Aided School,515057,187620
,,St Teresa's Catholic Primary School and Nursery,Mixed,Harrow,Harrow Weald,HA3 6LE,11,3,Long Elmes,Harrow,Voluntary Aided School,514022,190858
,,St John Fisher Catholic Primary School,Mixed,Harrow,,HA5 5RA,11,4,Melrose Road,Pinner,Voluntary Aided School,513011,189029
,,St Joseph's Catholic Primary School,Mixed,Harrow,Belmont Circle,HA3 7LP,11,4,Dobbin Close,Harrow,Voluntary Aided School,516391,190312
,,St George's Primary School,Mixed,Harrow,,HA1 3SB,11,4,Sudbury Hill,Harrow,Voluntary Aided School,515728,186230
,,Whitmore High School,Mixed,Harrow,,HA2 0AD,18,11,Porlock Avenue,Harrow,Community School,514224,187316
,,The Sacred Heart Language College,Girls,Harrow,Wealdstone,HA3 7AY,18,11,High Street,Harrow,Voluntary Aided School,515333,190273
,,Harrow School,Boys,Harrow,,HA1 3HP,19,13,5 High Street,Harrow-on-the-Hill,Other Independent School,515319,187244
,Middlesex,Heathfield School for Girls,Girls,Harrow,,HA5 1NB,18,3,Beaulieu Drive,Pinner,Other Independent School,511811,187922
,,The John Lyon School,Boys,Harrow,,HA2 0HN,18,11,Middle Road,Harrow,Other Independent School,514888,187108
,,Orley Farm School,Mixed,Harrow,,HA1 3NU,13,4,South Hill Avenue,Harrow,Other Independent School,514907,186152
,,Quainton Hall School,Mixed,Harrow,,HA1 1RX,13,2,91 Hindes Road,Harrow,Other Independent School,515063,188637
,,Alpha Preparatory School,Mixed,Harrow,,HA1 1SH,11,3,21 Hindes Road,Harrow,Other Independent School,515450,188690
,,Buckingham College School,Boys,Harrow,,HA1 1SH,18,11,11-17 Hindes Road,Harrow,Other Independent School,515473,188687
,,Peterborough and St Margaret's School,Girls,Harrow,,HA7 3JB,16,3,Common Road,Stanmore,Other Independent School,515144,193445
,,Reddiford School,Mixed,Harrow,,HA5 5HH,11,2,38 Cecil Park,Pinner,Other Independent School,512437,189230
,,Roxeth Mead School,Mixed,Harrow,,HA2 0HW,7,3,25 Middle Road,Harrow,Other Independent School,514776,186975
,Middlesex,North London Collegiate School,Girls,Harrow,,HA8 7RJ,18,4,Canons Drive,Edgware,Other Independent School,518160,191976
,,Shaftesbury High School,Mixed,Harrow,,HA3 6LE,19,11,Headstone Lane,Harrow,Community Special School,513970,190835
,,Alexandra School,Mixed,Harrow,South Harrow,HA2 9DX,11,3,Alexandra Avenue,Harrow,Community Special School,513081,186624
,Essex,Birnam Wood Pupil Referral Unit,Mixed,Havering,,RM11 3UR,14,11,Inskip Drive,Hornchurch,Pupil Referral Unit,554382,187071
Cranham,Essex,Oglethorpe Unit,Mixed,Havering,,RM14 3NB,11,5,Ashvale Gardens,Upminster,Pupil Referral Unit,557570,186616
,Essex,The James Oglethorpe Primary School,Mixed,Havering,,RM14 3NB,11,4,Ashvale Gardens,Upminster,Community School,557570,186616
,Essex,Harold Wood Primary School,Mixed,Havering,Harold Wood,RM3 0TH,11,4,Recreation Avenue,Romford,Community School,554997,189759
,Essex,Ardleigh Green Junior School,Mixed,Havering,,RM11 2SP,11,7,Ardleigh Green Road,Hornchurch,Community School,553907,189675
,Essex,Ardleigh Green Infant School,Mixed,Havering,,RM11 2SP,7,5,Ardleigh Green Road,Hornchurch,Community School,553907,189675
,Essex,Elm Park Primary School,Mixed,Havering,Elm Park,RM12 5JP,11,4,Upper Rainham Road,Hornchurch,Community School,551858,185367
,Essex,Benhurst Primary School,Mixed,Havering,Elm Park,RM12 4QS,11,4,Benhurst Avenue,Hornchurch,Community School,552897,186268
,Essex,Hylands Primary School,Mixed,Havering,,RM11 1DA,11,3,Benjamin Close,Romford,Community School,552374,188192
,Essex,Hacton Primary School,Mixed,Havering,,RM12 6AU,11,3,Chepstow Avenue,Hornchurch,Community School,554419,186215
,Essex,Harold Court Primary School,Mixed,Havering,Harold Wood,RM3 0SH,11,4,Church Road,Romford,Community School,555322,191230
,Essex,Langtons Junior School,Mixed,Havering,,RM11 3SD,11,7,Westland Avenue,Hornchurch,Community School,554073,187242
,Essex,Langtons Infant School,Mixed,Havering,,RM11 3SD,7,5,Westland Avenue,Hornchurch,Community School,554073,187242
,Essex,Scargill Junior School,Mixed,Havering,,RM13 7PL,11,7,Mungo Park Road,Rainham,Community School,552073,184537
,Essex,Scargill Infant School,Mixed,Havering,,RM13 7PL,7,5,Mungo Park Road,Rainham,Community School,552073,184537
,Essex,Suttons Primary School,Mixed,Havering,,RM12 6RP,11,4,Suttons Lane,Hornchurch,Community School,553877,185820
,Essex,Whybridge Junior School,Mixed,Havering,,RM13 7AH,11,7,Blacksmith's Lane,Rainham,Community School,552020,183864
,Essex,Whybridge Infant School,Mixed,Havering,,RM13 7AR,7,5,Ford Lane,Rainham,Community School,552029,184000
,Essex,Brookside Junior School,Mixed,Havering,Harold Hill,RM3 9DJ,11,7,Dagnam Park Drive,Romford,Community School,554152,192388
,Essex,Brookside Infant School,Mixed,Havering,Harold Hill,RM3 9DJ,7,3,Dagnam Park Drive,Romford,Community School,554152,192388
,Essex,Clockhouse Primary School,Mixed,Havering,Collier Row,RM5 3QR,11,3,Clockhouse Lane,Romford,Community School,549988,191473
,Essex,Crownfield Junior School,Mixed,Havering,Collier Row,RM7 8JB,11,7,White Hart Lane,Romford,Community School,549433,190308
,Essex,Crownfield Infant School,Mixed,Havering,Collier Row,RM7 8JB,7,5,White Hart Lane,Romford,Community School,549433,190308
,Essex,Parklands Junior School,Mixed,Havering,,RM1 4QX,11,7,Havering Road,Romford,Community School,550658,189989
,Essex,Parklands Infant School,Mixed,Havering,,RM1 4QX,7,3,Havering Road,Romford,Community School,550658,189989
,Essex,Rise Park Junior School,Mixed,Havering,Rise Park,RM1 4UD,11,7,Annan Way,Romford,Community School,550966,190881
,Essex,Rise Park Infant School,Mixed,Havering,Rise Park,RM1 4UD,7,5,Annan Way,Romford,Community School,550966,190881
,Essex,Squirrels Heath Junior School,Mixed,Havering,,RM2 5TP,11,7,Salisbury Road,Romford,Community School,552912,188781
,Essex,Squirrels Heath Infant School,Mixed,Havering,,RM2 5TP,7,5,Salisbury Road,Romford,Community School,552912,188781
,Essex,Gidea Park Primary School,Mixed,Havering,Gidea Park,RM2 5AJ,11,4,Lodge Avenue,Romford,Community School,552099,189498
,Essex,Towers Infant School,Mixed,Havering,,RM11 1HP,7,5,Osborne Road,Hornchurch,Community School,553371,187923
,Essex,Parsonage Farm Primary School,Mixed,Havering,,RM13 9JU,11,4,Farm Road,Rainham,Community School,553377,182904
,Essex,Towers Junior School,Mixed,Havering,,RM11 1PD,11,7,Windsor Road,Hornchurch,Community School,553323,187827
